Alpha: 0.049238944672099674, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.04954530936535578, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.04985358025960582, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.05016376921523159, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.050475888166410174, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.05078994912157302, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.051105964163868235, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.05142394545162508, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.05174390521882198, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.0520658557755572, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.05238980950852246, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.05271577888147937, Mean Test Score: 0.8673762945914845, Std Test Score: 0.006041426927502869
Alpha: 0.05304377643573915, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
Alpha: 0.05337381479064504, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
Alpha: 0.05370590664405776, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
Alpha: 0.054040064772844204, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
Alpha: 0.0543763020333689, Mean Test Score: 0.8672324510932106, Std Test Score: 0.00589758342922897
Alpha: 0.054714631361988605, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00589758342922897
Alpha: 0.05505506577555017, Mean Test Score: 0.8675201380897584, Std Test Score: 0.00589758342922897
Alpha: 0.05539761837189125, Mean Test Score: 0.8676639815880323, Std Test Score: 0.005753739930955126
Alpha: 0.05574230233034416, Mean Test Score: 0.8676639815880323, Std Test Score: 0.005753739930955126
Alpha: 0.05608913091224311, Mean Test Score: 0.8678078250863062, Std Test Score: 0.005609896432681227
Alpha: 0.05643811746143431, Mean Test Score: 0.8676639815880323, Std Test Score: 0.005466052934407328
